accession_id,obs_unit_id,CL,DTF1,DTF2,DTF3,Diameter,Length,RBN,RL
88,21533,8.0,43.66666667,48.0,50.5,14.5,51.33333333,0.333333333,30.0
108,21534,7.25,42.0,49.0,52.25,16.33333333,48.33333333,4.333333333,33.0
159,21535,7.0,46.75,50.75,56.75,13.5,43.5,4.5,43.5
350,21536,8.75,41.75,45.5,51.5,8.5,41.66666667,4.333333333,28.0
351,21537,12.5,55.0,59.0,65.33333333,15.0,29.5,2.0,37.5
403,21538,7.5,44.5,49.25,54.25,15.0,43.0,3.0,35.5
410,21539,9.0,55.0,59.25,65.25,17.66666667,46.66666667,7.666666667,40.5
424,21540,10.75,57.75,62.75,68.25,15.66666667,41.66666667,3.333333333,44.5
428,21541,8.666666667,49.33333333,53.33333333,59.0,18.0,47.66666667,4.0,33.66666667
430,21542,5.25,43.75,50.0,55.0,17.66666667,44.33333333,5.0,36.0
630,21543,11.5,47.0,52.75,58.75,15.0,40.0,4.0,41.0
763,21544,3.0,28.75,34.0,39.0,8.0,39.66666667,3.0,12.0
765,21545,2.0,29.66666667,36.33333333,36.66666667,13.0,29.0,4.0,10.0
766,21546,3.25,29.5,36.25,41.75,12.0,17.0,4.0,14.75
768,21547,10.5,67.0,71.25,78.25,12.0,39.0,5.0,28.0
772,21548,3.75,33.25,38.5,43.5,14.0,41.0,5.333333333,15.0
801,21549,16.75,74.75,77.5,88.25,11.0,43.66666667,1.333333333,61.0
915,21550,6.25,32.25,37.75,43.5,17.66666667,38.33333333,3.666666667,20.0
991,21551,29.75,86.75,91.25,106.75,14.0,39.66666667,3.0,80.25
992,21552,16.25,86.25,91.75,100.0,14.0,25.0,6.0,78.0
1002,21553,13.0,79.75,84.75,86.25,18.0,50.0,0.0,77.75
1061,21554,24.5,81.75,86.5,94.75,16.0,45.66666667,3.0,55.66666667
1254,21555,12.0,93.0,98.0,106.0,14.0,46.0,5.0,42.0
1552,21556,14.0,102.3333333,108.3333333,115.3333333,16.0,20.0,3.0,96.0
1829,21557,9.333333333,97.0,102.6666667,99.0,16.5,41.5,2.0,62.0
1853,21558,9.666666667,57.66666667,62.33333333,69.33333333,15.33333333,44.66666667,6.0,43.33333333
1890,21559,10.0,64.75,69.0,75.75,14.0,45.0,4.0,45.25
1925,21560,12.0,78.0,82.5,89.5,15.33333333,43.66666667,0.333333333,46.0
1954,21561,13.5,81.75,89.25,101.0,17.0,48.0,10.0,50.25
2016,21562,10.0,60.25,64.0,69.75,12.0,54.5,0.0,47.75
2171,21563,15.5,72.0,78.0,82.5,16.5,46.0,0.0,54.25
2202,21564,12.5,84.75,89.25,96.5,14.0,16.0,0.0,62.25
2276,21565,13.5,75.0,79.5,84.25,20.33333333,44.66666667,1.0,59.5
2278,21566,8.666666667,81.75,86.0,85.0,16.0,51.0,0.0,31.0
4779,21567,5.5,39.25,45.0,50.25,,30.5,0.5,23.5
4807,21568,15.33333333,77.25,81.75,87.5,10.0,48.66666667,2.333333333,62.75
4826,21569,8.333333333,42.0,46.66666667,51.0,17.0,41.0,1.333333333,34.33333333
4884,21570,10.33333333,39.5,44.25,49.5,12.5,42.66666667,5.0,32.25
4900,21571,7.75,39.75,46.5,50.25,13.0,40.5,2.0,34.5
4958,21572,12.5,93.0,97.75,100.25,17.5,47.66666667,2.0,80.33333333
5023,21573,7.25,32.5,38.75,43.75,16.66666667,46.33333333,2.333333333,23.25
5104,21574,2.5,32.0,38.5,40.75,8.333333333,43.33333333,2.0,14.5
5165,21575,15.5,72.75,77.25,81.75,16.33333333,58.0,5.0,54.0
5210,21576,12.66666667,67.75,73.0,78.0,16.0,48.0,6.333333333,52.5
5236,21577,5.75,34.25,40.75,43.5,18.66666667,47.33333333,1.666666667,22.25
5253,21578,2.75,28.5,33.75,38.0,15.0,52.0,0.0,13.25
5276,21579,8.0,41.25,47.25,49.75,15.5,29.0,0.0,26.25
5349,21580,15.66666667,79.66666667,85.33333333,97.33333333,20.0,43.0,4.333333333,54.66666667
5353,21581,9.5,53.0,59.0,62.5,10.66666667,41.33333333,5.666666667,44.25
5486,21582,3.5,27.5,35.5,37.5,14.0,38.0,0.0,15.0
5644,21583,5.5,33.5,40.5,46.25,16.0,48.33333333,4.0,20.5
5720,21584,8.666666667,52.0,56.33333333,63.33333333,15.66666667,47.66666667,0.333333333,36.33333333
5726,21585,7.25,37.5,44.75,48.0,18.33333333,43.33333333,4.0,30.25
5741,21586,14.25,80.0,85.25,88.5,13.33333333,41.33333333,3.333333333,61.5
5748,21587,5.25,31.0,36.5,41.75,,42.0,8.0,16.5
5757,21588,13.0,54.66666667,58.33333333,66.66666667,20.66666667,45.66666667,4.0,33.33333333
5772,21589,8.0,37.5,43.25,49.0,18.33333333,62.0,6.666666667,28.75
5779,21590,19.25,54.5,59.25,67.0,16.0,44.66666667,12.0,39.25
5784,21591,13.25,56.0,60.25,69.25,14.0,43.33333333,7.333333333,39.75
5800,21592,4.0,29.33333333,34.66666667,39.0,13.66666667,45.0,3.333333333,13.33333333
5811,21593,7.0,36.0,42.25,46.0,18.5,39.5,0.666666667,24.5
5822,21594,5.0,101.5,107.0,111.0,14.0,49.0,5.0,
5831,21595,12.5,86.0,91.0,93.0,14.0,42.0,5.666666667,59.25
5832,21596,12.0,74.0,78.33333333,87.33333333,14.0,47.0,5.0,49.0
5856,21597,,,,,14.0,49.0,5.0,
5865,21598,10.5,88.33333333,95.0,101.0,13.5,49.0,3.5,55.5
5874,21599,10.66666667,60.25,64.75,69.25,18.0,50.0,5.0,46.75
5890,21600,9.75,45.25,49.75,55.25,16.33333333,35.5,4.666666667,33.0
5907,21601,9.25,39.0,42.5,48.5,12.0,35.33333333,5.666666667,37.0
5921,21602,9.25,45.75,50.0,55.75,13.0,27.0,6.0,44.25
5950,21603,15.25,52.25,58.0,65.5,11.0,47.0,0.0,57.5
5984,21604,5.25,31.5,37.0,41.75,15.0,41.0,6.333333333,21.75
5993,21605,10.5,53.0,55.5,64.75,16.0,30.0,4.0,49.0
6008,21606,7.25,31.25,38.5,43.0,16.66666667,31.33333333,2.0,23.25
6036,21607,12.66666667,75.0,80.25,86.33333333,15.5,39.0,4.5,53.66666667
6038,21608,13.5,63.0,68.0,77.25,,45.5,5.5,61.25
6039,21609,7.0,46.0,50.0,62.0,15.5,42.5,0.5,29.0
6040,21610,18.5,70.0,74.66666667,82.5,16.0,37.5,1.5,58.5
6042,21611,4.25,32.75,39.75,43.0,16.5,30.5,4.0,15.5
6043,21612,26.0,117.6666667,124.0,130.6666667,9.0,43.0,4.5,
6085,21613,,112.5,127.0,128.0,15.0,40.0,0.0,
6086,21614,13.33333333,87.75,94.25,100.75,14.0,40.0,2.0,50.0
6088,21615,,110.0,116.0,128.0,13.0,39.5,1.0,
6104,21616,26.66666667,92.75,97.25,109.5,8.0,46.0,0.0,63.66666667
6105,21617,14.0,79.33333333,83.66666667,87.66666667,9.0,48.5,0.0,75.0
6109,21618,23.0,90.0,95.33333333,99.0,21.0,44.0,0.0,80.0
6111,21619,16.33333333,81.33333333,85.0,93.66666667,22.0,51.0,0.5,61.33333333
6113,21620,,,,,16.0,29.0,0.0,
6114,21621,15.0,80.0,86.0,92.0,14.5,32.5,2.5,67.0
6115,21622,12.66666667,65.5,70.5,74.75,15.0,32.0,0.0,48.0
6122,21623,19.75,80.0,85.0,90.0,16.0,37.0,3.5,73.25
6140,21624,19.0,91.0,95.5,103.25,18.0,27.0,0.0,74.5
6142,21625,22.0,92.25,98.25,107.5,16.0,41.0,0.0,59.0
6151,21626,9.666666667,91.0,101.3333333,103.3333333,14.0,42.66666667,3.333333333,65.33333333
6172,21627,12.0,76.0,107.0,114.0,6.0,46.0,3.0,
6184,21628,13.5,95.0,101.5,103.6666667,14.0,41.0,2.0,66.66666667
6188,21629,9.0,40.5,46.5,53.5,13.0,46.5,5.0,33.0
6189,21630,10.5,46.0,52.33333333,56.66666667,,45.0,2.0,30.33333333
6191,21631,11.5,46.0,50.0,58.5,17.0,50.0,6.0,38.25
