accession_id,FT_0W,FT_2W,FT_4W,FT_8W
5837,44.7,28.0,23.5,20.2
6008,24.5,16.0,17.8,17.2
6009,,125.0,78.6,31.5
6016,125.0,78.2,,30.8
6040,125.0,72.4,,33.0
6042,27.3,17.6,,16.6
6043,125.0,125.0,125.0,
6046,,,,36.8
6064,125.0,125.0,71.9,26.9
6074,125.0,125.0,115.8,43.8
6243,31.4,21.6,,19.4
6709,37.4,24.8,,17.1
6897,72.5,49.0,,21.8
6898,22.9,15.2,20.8,16.8
6899,30.2,18.6,18.1,14.5
6900,,125.0,84.1,25.2
6901,,,78.0,31.8
6903,37.1,23.6,19.6,17.9
6904,76.2,41.0,24.5,17.1
6905,43.5,34.4,32.0,28.8
6906,44.0,23.2,18.1,13.5
6907,50.1,38.0,31.1,24.7
6908,49.6,27.0,25.1,17.7
6909,30.7,21.6,21.3,18.6
6910,29.5,18.8,19.9,16.1
6911,43.6,24.2,20.2,18.0
6913,125.0,125.0,102.4,
6914,125.0,60.0,37.6,28.3
6915,,,,22.4
6916,26.0,20.2,24.5,20.3
6917,125.0,125.0,110.3,32.6
6918,125.0,125.0,76.0,42.0
6919,42.3,25.6,21.5,17.6
6920,93.2,55.6,40.4,31.9
6922,27.4,20.6,21.7,18.7
6923,24.5,18.4,16.8,14.6
6924,,31.0,,
6927,,,,48.6
6928,70.6,53.0,47.5,33.0
6929,42.6,24.0,23.3,19.1
6930,23.6,19.4,17.0,13.3
6931,25.6,20.6,16.8,14.4
6932,27.8,22.2,21.2,18.7
6933,68.8,27.4,20.7,15.6
6936,48.2,28.6,24.6,20.0
6937,,29.4,27.6,22.8
6939,26.5,19.6,20.3,19.0
6940,29.4,18.8,21.7,18.2
6942,33.1,20.4,19.6,17.4
6943,28.4,19.8,23.1,15.5
6944,24.7,17.4,17.4,14.3
6946,,22.0,23.9,21.9
6951,39.9,24.4,20.4,34.5
6956,,,,19.2
6957,78.8,47.2,31.4,24.1
6958,28.2,19.4,19.7,16.2
6959,38.5,28.6,23.9,22.7
6960,23.1,16.4,15.0,14.6
6961,73.6,23.8,18.4,
6962,30.2,21.8,21.5,16.8
6963,44.7,29.0,21.9,17.3
6964,125.0,79.0,,34.7
6965,125.0,111.4,67.3,33.3
6966,50.7,27.8,22.9,18.6
